reg_id,spikes,morethan5,longspikes,many_longspikes
E05_1,,,,
E05_10,,,,
E05_11,,,,
E05_12,,,,
E05_13,,,,
E05_14,,,,
E05_15,,,,
E05_16,,,,
E05_17,,,,
E05_18,1,,,
E05_19,,,,
E05_2,,,,
E05_20,,,,
E05_21,,,,
E05_22,,,,
E05_23,,,,
E05_24,,,,
E05_25,,,,
E05_26,,,,
E05_27,,,,
E05_28,,,,
E05_29,,,,
E05_3,,,,
E05_30,,,,
E05_31,,,,
E05_32,,,,
E05_33,,,,
E05_34,,,,
E05_35,,,,
E05_36,,,,
E05_37,,,,
E05_38,,,,
E05_39,,,,
E05_4,,,,
E05_40,,,,
E05_41,,,,
E05_42,,,,
E05_43,,,,
E05_44,,,,
E05_45,,,,
E05_46,,,,
E05_47,,,,
E05_48,,,,
E05_49,,,,
E05_5,,,,
E05_6,,,,
E05_7,,,,
E05_8,,,,
E05_9,,,,
F05_1,,,,
F05_10,,,,
F05_11,,,,
F05_12,,,,
F05_13,,,,
F05_14,,,,
F05_15,,,,
F05_16,,,,
F05_17,,,,
F05_18,,,,
F05_19,,,,
F05_2,,,,
F05_20,,,,
F05_21,,,,
F05_22,,,,
F05_24,,,,
F05_25,,,,
F05_26,,,,
F05_27,,,,
F05_28,,,,
F05_29,,,,
F05_3,,,,
F05_30,,,,
F05_31,,,,
F05_32,,,,
F05_33,,,,
F05_34,,,,
F05_35,,,,
F05_36,,,,
F05_37,,,,
F05_38,,,,
F05_39,,,,
F05_4,,,,
F05_40,,,,
F05_41,,,,
F05_42,,,,
F05_43,,,,
F05_44,,,,
F05_45,,,,
F05_46,,,,
F05_47,,,,
F05_48,,,,
F05_49,,,,
F05_5,,,,
F05_50,,,,
F05_51,,,,
F05_52,,,,
F05_6,,,,
F05_7,,,,
F05_8,,,,
F05_9,,,,
G05_10,,,,
G05_11,,,,
G05_12,,,,
G05_13,,,,
G05_14,,,,
G05_15,1,,,
G05_16,,,,
G05_17,,,,
G05_18,,,,
G05_19,,,,
G05_2,,,,
G05_20,,,,
G05_21,,,,
G05_22,,,,
G05_23,,,,
G05_24,,,,
G05_25,,,,
G05_26,,,,
G05_27,,,,
G05_28,,,,
G05_3,,,,
G05_5,,,,
G05_6,,,,
G05_7,1,,,
G05_8,,,,
G05_9,,,,
H05_10,,,,
H05_11,,,,
H05_12,,,,
H05_13,,,,
H05_14,,,,
H05_15,,,,
H05_16,,,,
H05_17,,,,
H05_18,,,,
H05_19,,,,
H05_2,,,,
H05_20,,,,
H05_21,,,,
H05_22,,,,
H05_23,,,,
H05_24,,,,
H05_25,,,,
H05_26,,,,
H05_27,,,,
H05_28,,,,
H05_29,,,,
H05_3,1,,,
H05_30,,,,
H05_31,,,,
H05_32,,,,
H05_33,1,,,
H05_34,,,,
H05_35,,,,
H05_36,,,,
H05_37,,,,
H05_38,,,,
H05_39,,,,
H05_4,,,,
H05_40,,,,
H05_41,,,,
H05_42,,,,
H05_44,,,,
H05_45,,,,
H05_46,,,,
H05_47,,,,
H05_48,,,,
H05_49,,,,
H05_5,,,,
H05_50,,,,
H05_51,,,,
H05_6,,,,
H05_7,,,,
H05_8,,,,
H05_9,,,,
I05_1,,,,
I05_10,,,,
I05_11,,,,
I05_12,,,,
I05_13,,,,
I05_14,,,,
I05_15,,,,
I05_16,,,,
I05_17,,,,
I05_18,,,,
I05_19,,,,
I05_20,,,,
I05_21,,,,
I05_22,,,,
I05_23,,,,
I05_24,,,,
I05_25,,,,
I05_26,,,,
I05_27,,,,
I05_28,,,,
I05_29,,,,
I05_3,,,,
I05_30,,,,
I05_31,,,,
I05_32,,,,
I05_33,,,,
I05_35,,,,
I05_4,,,,
I05_5,,,,
I05_6,,,,
I05_7,,,,
I05_8,,,,
I05_9,,,,
J05_1,,,,
J05_10,1,,,
J05_100,,,,
J05_101,1,,,
J05_11,,,,
J05_12,,,,
J05_13,,,,
J05_14,,,,
J05_15,,,,
J05_16,,,,
J05_17,,,,
J05_18,,,,
J05_19,,,,
J05_2,1,,,
J05_20,,,,
J05_21,,,,
J05_22,,,,
J05_23,,,,
J05_24,,,,
J05_25,,,,
J05_26,,,,
J05_27,,,,
J05_28,,,,
J05_29,,,,
J05_3,,,,
J05_30,,,,
J05_31,,,,
J05_32,,,,
J05_33,,,,
J05_34,,,,
J05_35,,,,
J05_36,,,,
J05_37,,,,
J05_38,,,,
J05_39,,,,
J05_4,,,,
J05_40,,,,
J05_41,,,,
J05_42,1,,,
J05_43,,,,
J05_44,,,,
J05_45,1,,,
J05_46,,,,
J05_47,,,,
J05_48,,,,
J05_49,,,,
J05_5,,,,
J05_50,,,,
J05_51,,,,
J05_52,,,,
J05_53,,,,
J05_54,1,,,
J05_55,,,,
J05_56,,,,
J05_57,,,,
J05_58,,,,
J05_59,,,,
J05_6,1,,,
J05_60,,,,
J05_61,,,,
J05_62,,,,
J05_63,,,,
J05_64,,,,
J05_65,,,,
J05_66,,,,
J05_67,,,,
J05_68,1,,,
J05_69,,,,
J05_7,1,,,
J05_70,,,,
J05_71,,,,
J05_72,,,,
J05_73,,,,
J05_74,,,,
J05_75,,,,
J05_76,,,,
J05_77,1,,,
J05_78,,,,
J05_79,1,,,
J05_8,,,,
J05_80,,,,
J05_81,,,,
J05_82,,,,
J05_83,,,,
J05_84,,,,
J05_85,,,,
J05_86,,,,
J05_87,,,,
J05_88,,,,
J05_89,,,,
J05_9,,,,
J05_90,,,,
J05_91,,,,
J05_92,,,,
J05_93,,,,
J05_94,,,,
J05_95,,,,
J05_96,,,,
J05_97,,,,
J05_98,,,,
J05_99,,,,
K05_10,1,,,
K05_11,,,,
K05_12,,,,
K05_13,,,,
K05_14,1,,,
K05_15,,,,
K05_16,1,,,
K05_17,,,,
K05_18,,,,
K05_19,,,,
K05_2,,,,
K05_20,1,1,,
K05_21,,,,
K05_22,,,,
K05_23,,,,
K05_24,,,,
K05_25,1,1,,
K05_26,,,,
K05_27,1,1,,
K05_28,1,1,,
K05_29,,,,
K05_3,,,,
K05_30,,,,
K05_31,,,,
K05_32,,,,
K05_33,,,,
K05_34,,,,
K05_35,,,,
K05_36,,,,
K05_37,1,1,,
K05_38,,,,
K05_39,,,,
K05_40,,,,
K05_41,,,,
K05_42,,,,
K05_44,1,,,
K05_45,,,,
K05_46,,,,
K05_47,,,,
K05_48,,,,
K05_49,,,,
K05_5,,,,
K05_50,,,,
K05_51,,,,
K05_52,,,,
K05_53,1,1,,
K05_54,,,,
K05_55,,,,
K05_56,,,,
K05_57,,,,
K05_58,,,,
K05_59,,,,
K05_6,,,,
K05_60,,,,
K05_61,,,,
K05_62,,,,
K05_63,,,,
K05_64,1,,,
K05_65,,,,
K05_66,1,,,
K05_67,,,,
K05_68,,,,
K05_69,,,,
K05_7,1,1,,
K05_70,,,,
K05_8,,,,
K05_9,,,,
L05_1,,,,
L05_10,,,,
L05_11,,,,
L05_12,,,,
L05_13,,,,
L05_14,,,,
L05_16,,,,
L05_17,,,,
L05_18,,,,
L05_19,,,,
L05_2,,,,
L05_20,,,,
L05_21,,,,
L05_22,,,,
L05_23,,,,
L05_24,,,,
L05_25,,,,
L05_26,,,,
L05_27,,,,
L05_28,,,,
L05_29,,,,
L05_3,,,,
L05_30,,,,
L05_31,,,,
L05_32,1,,,
L05_33,,,,
L05_34,,,,
L05_35,1,,,
L05_37,,,,
L05_38,,,,
L05_39,,,,
L05_4,,,,
L05_40,,,,
L05_41,,,,
L05_42,,,,
L05_43,,,,
L05_45,,,,
L05_46,,,,
L05_47,,,,
L05_48,,,,
L05_49,,,,
L05_5,,,,
L05_50,,,,
L05_51,,,,
L05_52,,,,
L05_53,,,,
L05_54,,,,
L05_55,,,,
L05_56,,,,
L05_57,,,,
L05_58,,,,
L05_59,,,,
L05_6,,,,
L05_60,,,,
L05_61,,,,
L05_62,,,,
L05_63,,,,
L05_64,,,,
L05_65,,,,
L05_66,,,,
L05_67,,,,
L05_68,,,,
L05_69,,,,
L05_7,1,,,
L05_70,,,,
L05_71,,,,
L05_72,,,,
L05_73,,,,
L05_74,,,,
L05_75,,,,
L05_76,,,,
L05_77,,,,
L05_78,,,,
L05_79,1,1,,
L05_8,,,,
L05_80,,,,
L05_81,,,,
L05_83,,,,
L05_84,1,1,,
L05_85,,,,
L05_86,1,1,,
L05_87,,,,
L05_88,,,,
L05_89,,,,
L05_9,,,,
L05_90,,,,
L05_91,,,,
L05_92,,,,